sport,close_source,market,n,move_rate,mean_abs_move,n_same,ll_diff,t_iid,t_date,p_date,n_moved,directional,p_binom,gate_a,gate_b
NHL,consensus,assists,12324,0.0005679974034404414,1.0,12317,0.0001308771714767869,0.612917321797666,0.17544937752397705,0.860895600173515,,,,False,False
NHL,consensus,blocked_shots,5457,0.010445299615173173,0.9912280701754386,5400,0.0006596062828728161,2.1560630536733574,1.0591031264170487,0.29076948665794977,57.0,0.7017543859649122,0.0032015437674503813,False,False
NHL,consensus,goals,10577,0.00028363430084144843,0.8333333333333334,10574,-0.00043323533677493224,-0.9983758418667538,-0.5841489399615418,0.5597470741300294,,,,False,False
NHL,consensus,points,12261,0.008726857515700187,0.9766355140186916,12154,0.0003193186403007068,1.4483674835769176,-0.06061182826974367,0.951725996999361,107.0,0.7009345794392523,3.918715378691487e-05,False,False
NHL,consensus,saves,2323,0.08480413258717176,1.1827411167512691,2126,0.0008338244297609948,1.9256884530967302,0.5583229472745627,0.5772331572926395,197.0,0.5685279187817259,0.06369102606287877,False,False
NHL,consensus,shots,12329,0.02903722929677995,1.0125698324022345,11971,0.0007287903561961177,2.1117805593718812,-0.21012727223259284,0.8337720687065604,358.0,0.6284916201117319,1.3322985928072268e-06,False,False
NHL,consensus,_ALL_,55271,0.013189556910495559,1.0507544581618655,54542,0.00027448418546157185,2.004143348087525,0.09042387243402537,0.9280365742608329,729.0,0.6310013717421125,1.472475896181388e-12,False,True
NHL,consensus|fd_open,_ALL_,3172,0.054539722572509455,1.1445086705202312,2999,0.0010155159750826854,1.004594815843765,-0.2184205817754179,0.8273869046221111,173.0,0.5780346820809249,0.047756447681289727,False,False
NHL,FanDuel,assists,13,0.0,,13,,,,,,,,False,False
NHL,FanDuel,goals,2464,0.00040584415584415587,1.0,2463,-0.0011009841019548117,-1.2732469537948885,-0.8971794009479748,0.3710145939321965,,,,False,False
NHL,FanDuel,points,477,0.014675052410901468,1.0,470,-0.0013338357077754737,-0.5702089719547382,-2.0800618331769534,0.05786666771182158,,,,False,False
NHL,FanDuel,saves,2183,0.2212551534585433,1.0973084886128364,1700,0.0008305186544217186,1.0568558638097791,0.12958639734301733,0.8970238982434864,483.0,0.5341614906832298,0.14530096367970968,False,False
NHL,FanDuel,shots,8642,0.07405693126591067,1.003125,8002,0.000132095069321239,0.2757167183164689,-0.18519611909392794,0.8533142433043694,640.0,0.625,2.662421849728011e-10,False,True
NHL,FanDuel,_ALL_,13779,0.08208142826039626,1.0433244916003537,12648,-4.976666067010184e-05,-0.13347389792481573,-1.3133023285089431,0.19057831397502448,1131.0,0.5879752431476569,3.5845248098279395e-09,False,True
NHL,FanDuel|fd_open,_ALL_,3173,0.022061140876142454,1.1428571428571428,3103,0.0013515688846778876,1.8700327257268656,0.9856700710972515,0.32581161686613225,70.0,0.5285714285714286,0.7202027723528612,False,False
NHL,DraftKings,assists,11896,0.0006724949562878278,1.0,11888,0.0001346382059226758,0.5435376546806477,0.13471392674413396,0.8929670884385452,,,,False,False
NHL,DraftKings,blocked_shots,4889,0.011658825935774187,1.0,4832,0.000553484191789338,1.5552555639418355,0.9030264934584316,0.3675564192586205,57.0,0.6842105263157895,0.0075081755341502,False,False
NHL,DraftKings,points,11878,0.009513386091934669,1.0265486725663717,11765,0.0002215478348271242,0.872914372683686,-0.5006952063280758,0.6171100028027905,113.0,0.6991150442477876,2.773113732181688e-05,False,False
NHL,DraftKings,saves,463,0.08423326133909287,1.1282051282051282,424,-0.0006309898025700576,-0.46439646902593146,-1.1677866033044153,0.24709426187267133,39.0,0.6923076923076923,0.023702702470473014,False,False
NHL,DraftKings,shots,11657,0.031569014326155956,1.013586956521739,11289,0.00047956837227515156,1.3007930886514458,-0.6088278306985211,0.5432965874854094,368.0,0.6195652173913043,5.221085359359894e-06,False,False
NHL,DraftKings,_ALL_,40783,0.014344212049138121,1.0222222222222221,40198,0.0002992147012737064,1.9461477660527768,-0.4780087976673067,0.633141150732482,585.0,0.6461538461538462,1.4557775749434564e-12,False,True
NHL,DraftKings|fd_open,_ALL_,893,0.1366181410974244,1.0327868852459017,771,0.0020600567840485494,0.6939074843735319,0.06958970765620752,0.9446729235878906,122.0,0.5819672131147541,0.08498064582685319,False,False
