sport,close_source,market,n,move_rate,n_same,ll_diff,t_iid,t_date,p_date,n_moved,directional,p_binom,gate_a,gate_b
NHL,consensus,moneyline,1389,0.7372210223182145,1389,0.004084041343892225,1.9762526196983854,2.327779318451004,0.020880351853932687,1024,0.5556640625,0.00040845374940893744,False,True
NHL,consensus,puck_line,1383,0.0650759219088937,1293,0.002877824502814868,1.0469745231808787,1.6522182495589675,0.10000608705922372,90,0.7777777777777778,1.1363565084238009e-07,False,False
NHL,consensus,total,1381,0.2954380883417813,973,0.0014147562916674876,0.7358772476809415,0.7444283831886401,0.457478233867732,406,0.5295566502463054,0.25364479142175084,False,False
NHL,consensus,_ALL_,4153,0.3664820611606068,3655,0.0029467355350474398,2.1821019477301835,3.146205423774109,0.00189404720029039,1520,0.5618421052631579,1.568789814199413e-06,True,True
NHL,consensus|fd_open,_ALL_,1897,0.2198207696362678,1620,0.0027613046907165742,1.185427658066222,1.8130566677518312,0.07193509112953676,417,0.5995203836930456,5.6285143324877446e-05,False,True
NHL,FanDuel,moneyline,1383,0.7462039045553145,1383,0.004828995079374227,2.192914172570543,2.335386948493978,0.020471358052294518,1032,0.5474806201550387,0.002515559744890455,False,False
NHL,FanDuel,puck_line,1380,0.06376811594202898,1292,0.0031147374403776022,1.1150369209937496,2.021605364214397,0.044504465416264974,88,0.7727272727272727,2.770265657008098e-07,False,False
NHL,FanDuel,total,1364,0.1906158357771261,1104,0.0038992429736823295,2.601176317990593,2.3214886585540397,0.021238076816331313,258,0.5581395348837209,0.0707961875306536,False,False
NHL,FanDuel,_ALL_,4127,0.33438332929488734,3779,0.003971290079568063,2.9997926407759037,3.784324606209204,0.00020105990642996563,1378,0.5638606676342526,2.354445171227869e-06,True,True
NHL,FanDuel|fd_open,_ALL_,1897,0.1312598840274117,1747,0.003505279660190853,1.6681536045710237,2.4926515664543043,0.013812190181642309,249,0.6224899598393574,0.00013353812134073463,False,True
NHL,DraftKings,moneyline,1386,0.7373737373737373,1386,0.003884488725881033,1.8504286095391376,2.319262859578706,0.021346698704854946,1022,0.5547945205479452,0.0005103093010152707,False,True
NHL,DraftKings,puck_line,1378,0.06676342525399129,1286,0.0031410629620395414,1.1312532807171594,1.5982768161248233,0.1115140793528181,92,0.782608695652174,4.606251020832626e-08,False,False
NHL,DraftKings,total,1362,0.20851688693098386,1078,0.0033131445151516137,2.0608746213954774,1.976034823181356,0.04949866460553394,282,0.5780141843971631,0.010322006349672121,False,False
NHL,DraftKings,_ALL_,4126,0.3388269510421716,3750,0.0034653008348233066,2.6411993708406776,3.4590920947624024,0.000656223813956382,1396,0.5744985673352435,2.8546170889481604e-08,True,True
NHL,DraftKings|fd_open,_ALL_,1875,0.2,1655,0.0034625516781821605,1.5299760574152492,1.76748379462367,0.07931041916521109,375,0.632,3.597991969111118e-07,False,True
