key,placed_at,match_date,event_id,market,player,side,line,odds_taken,stake,model_p,ev_claimed,status,result,actual,clv,clv_cal,clv_source,pnl,notes
2708_assists_carla leite_under,2026-08-06 13:27:52,2026-08-06,2708,assists,Carla Leite,under,8.5,-158,1.0,0.8445,0.379,settled,lost,11.0,-0.0761,-0.0487,cons@7.5,-1.0,"owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $2.00); model_p corrected 0.744 -> 0.8445 (sheet wrote p at the consensus line, FD line differed)"
2707_points_kayla mcbride_over,2026-08-06 13:27:52,2026-08-06,2707,points,Kayla McBride,over,17.5,-113,1.0,0.6854,0.2919,settled,lost,15.0,-0.0575,-0.0893,cons@17.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2710_points_diamond miller_under,2026-08-06 13:27:52,2026-08-07,2710,points,Diamond Miller,under,11.5,-114,1.0,0.6865,0.2887,settled,won,9.0,0.0733,0.1042,cons@10.5,0.88,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2707_rebounds_courtney williams_over,2026-08-06 13:27:52,2026-08-06,2707,rebounds,Courtney Williams,over,4.5,122,1.0,0.5676,0.2601,settled,won,8.0,-0.0042,-0.0676,cons@4.5,1.22,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2708_rebounds_maria conde_over,2026-08-06 13:27:52,2026-08-06,2708,rebounds,Maria Conde,over,4.5,108,1.0,0.601,0.2501,settled,won,6.0,-0.0673,-0.1267,cons@4.5,1.08,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2711_assists_paige bueckers_over,2026-08-06 13:27:52,2026-08-07,2711,assists,Paige Bueckers,over,5.5,110,1.0,0.5853,0.2291,settled,lost,1.0,0.0989,0.0629,cons@5.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2706_threes_chelsea gray_over,2026-08-06 13:27:52,2026-08-06,2706,threes,Chelsea Gray,over,1.5,110,1.0,0.5821,0.2224,settled,won,3.0,-0.0776,-0.1232,cons@1.5,1.1,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2707_threes_olivia miles_over,2026-08-06 13:27:52,2026-08-06,2707,threes,Olivia Miles,over,1.5,138,1.0,0.5123,0.2193,settled,won,3.0,-0.0773,-0.1269,cons@1.5,1.38,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2710_assists_leila lacan_under,2026-08-06 13:27:52,2026-08-07,2710,assists,Leila Lacan,under,4.5,122,1.0,0.5405,0.1999,settled,won,4.0,0.1845,0.2223,cons@4.5,1.22,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2707_threes_rae burrell_under,2026-08-06 13:27:52,2026-08-06,2707,threes,Rae Burrell,under,1.5,104,1.0,0.5806,0.1844,settled,lost,3.0,-0.0478,-0.0026,cons@1.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2709_points_rhyne howard_under,2026-08-06 13:27:52,2026-08-07,2709,points,Rhyne Howard,under,17.5,-130,1.0,0.6652,0.1769,settled,lost,19.0,-0.0778,-0.0481,cons@17.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00); owner beat sheet price (-132 -> -130)
